SampleSize,Set,sappalphas,sappbetas,sappalpha_ds,sappbeta_ds
1,1,17,2,50,0
1,2,14,3,33,8
1,3,13,2,59,7
1,4,26,5,37,0
1,5,17,3,52,6
1,6,22,4,45,1
1,7,24,1,64,7
1,8,24,2,47,3
1,9,26,2,51,0
1,10,11,2,33,9
1,11,21,2,43,9
1,12,23,2,45,9
1,13,22,8,46,0
1,14,17,1,47,8
1,15,24,1,61,0
1,16,18,2,50,0
1,17,22,3,33,1
1,18,18,4,50,8
1,19,21,3,52,5
1,20,21,1,44,6
10,1,17,2,50,0
10,1,17,5,60,0
10,1,18,1,70,7
10,1,25,2,45,0
10,1,17,1,41,8
10,1,35,1,66,0
10,1,38,2,42,2
10,1,23,4,39,8
10,1,14,4,61,3
10,1,18,3,63,8
10,2,14,3,33,8
10,2,19,1,60,7
10,2,23,2,57,7
10,2,19,1,66,3
10,2,20,1,45,2
10,2,24,3,46,8
10,2,22,1,53,4
10,2,24,1,37,8
10,2,22,2,56,8
10,2,21,4,47,0
10,3,13,2,59,7
10,3,19,2,26,8
10,3,23,2,64,9
10,3,23,3,64,6
10,3,20,0,51,4
10,3,17,3,52,2
10,3,29,1,47,8
10,3,20,2,56,1
10,3,14,4,55,9
10,3,12,2,45,0
10,4,26,5,37,0
10,4,16,3,39,1
10,4,20,3,57,8
10,4,11,10,65,0
10,4,27,1,29,1
10,4,26,0,57,9
10,4,22,3,41,8
10,4,21,0,49,3
10,4,23,1,48,8
10,4,26,3,42,0
10,5,17,3,52,6
10,5,11,1,63,3
10,5,19,3,62,9
10,5,23,0,42,2
10,5,22,3,73,8
10,5,16,3,57,0
10,5,16,2,46,3
10,5,24,3,56,5
10,5,22,1,40,7
10,5,24,0,48,5
10,6,22,4,45,1
10,6,22,4,55,5
10,6,20,2,40,8
10,6,17,1,54,5
10,6,33,1,56,8
10,6,27,3,34,6
10,6,22,2,42,2
10,6,20,3,54,8
10,6,20,2,40,6
10,6,22,3,57,8
10,7,24,1,64,7
10,7,21,3,67,6
10,7,27,2,42,6
10,7,26,2,49,1
10,7,17,4,63,9
10,7,17,3,58,7
10,7,16,1,68,8
10,7,17,2,57,5
10,7,25,1,48,7
10,7,14,5,46,1
10,8,24,2,47,3
10,8,22,2,47,1
10,8,16,1,35,8
10,8,21,3,52,7
10,8,19,0,62,7
10,8,19,1,52,5
10,8,13,3,51,6
10,8,23,1,30,7
10,8,21,1,47,6
10,8,20,7,51,0
10,9,26,2,51,0
10,9,16,1,62,6
10,9,18,5,42,7
10,9,21,1,54,8
10,9,23,6,50,0
10,9,17,4,57,9
10,9,18,1,45,9
10,9,25,2,43,5
10,9,16,2,58,8
10,9,18,3,57,2
10,10,11,2,33,9
10,10,12,3,55,5
10,10,24,2,40,3
10,10,19,4,67,8
10,10,11,3,57,8
10,10,22,4,33,4
10,10,28,4,52,6
10,10,16,2,59,8
10,10,22,2,48,7
10,10,22,1,32,7
10,11,21,2,43,9
10,11,21,11,33,0
10,11,17,2,45,0
10,11,33,3,46,2
10,11,19,3,26,8
10,11,19,2,62,9
10,11,14,2,55,3
10,11,17,1,46,8
10,11,20,4,52,8
10,11,17,3,55,8
10,12,23,2,45,9
10,12,36,3,45,9
10,12,14,3,78,4
10,12,22,2,43,8
10,12,25,2,54,4
10,12,17,3,53,1
10,12,20,1,57,3
10,12,22,0,50,5
10,12,15,2,49,8
10,12,17,4,45,7
10,13,22,8,46,0
10,13,22,1,52,3
10,13,21,1,44,9
10,13,19,1,52,3
10,13,17,1,69,8
10,13,17,1,73,2
10,13,21,2,39,1
10,13,23,4,51,1
10,13,28,2,31,6
10,13,18,2,49,4
10,14,17,1,47,8
10,14,19,2,38,7
10,14,25,2,63,8
10,14,21,4,51,1
10,14,16,2,48,6
10,14,18,0,53,6
10,14,16,1,60,2
10,14,14,3,62,8
10,14,25,0,48,4
10,14,16,2,63,0
10,15,24,1,61,0
10,15,18,2,27,8
10,15,23,8,36,0
10,15,20,2,51,0
10,15,21,1,52,6
10,15,18,2,42,2
10,15,14,1,45,6
10,15,19,2,38,6
10,15,19,3,43,5
10,15,18,5,52,2
10,16,18,2,50,0
10,16,17,2,57,7
10,16,18,6,60,0
10,16,27,1,39,6
10,16,16,0,43,6
10,16,22,1,45,8
10,16,19,0,66,4
10,16,20,2,53,7
10,16,23,2,46,0
10,16,23,1,57,6
10,17,22,3,33,1
10,17,26,1,48,0
10,17,21,2,45,6
10,17,20,3,43,8
10,17,20,3,66,7
10,17,21,2,57,5
10,17,18,4,50,8
10,17,17,2,57,7
10,17,19,4,48,5
10,17,21,5,62,0
10,18,18,4,50,8
10,18,20,4,31,0
10,18,21,2,53,6
10,18,20,3,42,6
10,18,21,0,55,7
10,18,16,3,55,2
10,18,14,0,47,8
10,18,19,2,61,9
10,18,20,1,53,9
10,18,17,4,70,7
10,19,21,3,52,5
10,19,13,2,49,0
10,19,32,1,33,4
10,19,21,0,47,1
10,19,16,1,56,4
10,19,21,3,49,6
10,19,25,3,57,6
10,19,23,3,62,8
10,19,31,2,38,6
10,19,22,4,38,9
10,20,21,1,44,6
10,20,18,2,51,6
10,20,16,0,53,7
10,20,22,0,47,7
10,20,25,2,48,8
10,20,19,0,46,5
10,20,13,3,38,3
10,20,13,9,51,0
10,20,17,4,54,5
10,20,20,1,63,8
25,1,17,2,50,0
25,1,17,5,60,0
25,1,18,1,70,7
25,1,25,2,45,0
25,1,17,1,41,8
25,1,35,1,66,0
25,1,38,2,42,2
25,1,23,4,39,8
25,1,14,4,61,3
25,1,18,3,63,8
25,1,30,1,47,8
25,1,20,2,53,7
25,1,22,2,56,0
25,1,21,1,42,0
25,1,17,1,54,3
25,1,16,2,51,9
25,1,24,2,46,0
25,1,24,2,40,4
25,1,16,0,48,1
25,1,30,4,60,2
25,1,14,1,53,6
25,1,13,3,66,5
25,1,19,0,61,7
25,1,17,2,51,3
25,1,9,4,56,1
25,2,14,3,33,8
25,2,19,1,60,7
25,2,23,2,57,7
25,2,19,1,66,3
25,2,20,1,45,2
25,2,24,3,46,8
25,2,22,1,53,4
25,2,24,1,37,8
25,2,22,2,56,8
25,2,21,4,47,0
25,2,15,3,71,4
25,2,19,3,48,6
25,2,25,1,41,7
25,2,15,2,49,6
25,2,24,0,52,7
25,2,16,2,63,9
25,2,16,2,26,8
25,2,16,10,47,0
25,2,17,2,50,7
25,2,12,3,59,5
25,2,23,1,66,0
25,2,26,2,64,9
25,2,14,2,63,7
25,2,18,1,53,3
25,2,27,3,51,8
25,3,13,2,59,7
25,3,19,2,26,8
25,3,23,2,64,9
25,3,23,3,64,6
25,3,20,0,51,4
25,3,17,3,52,2
25,3,29,1,47,8
25,3,20,2,56,1
25,3,14,4,55,9
25,3,12,2,45,0
25,3,17,2,67,0
25,3,20,2,46,8
25,3,21,3,44,4
25,3,15,1,57,3
25,3,19,3,44,5
25,3,24,0,61,3
25,3,16,4,55,7
25,3,21,1,52,5
25,3,21,2,53,6
25,3,28,0,43,3
25,3,24,0,53,2
25,3,25,4,57,0
25,3,14,4,57,3
25,3,18,2,46,9
25,3,14,4,52,8
25,4,26,5,37,0
25,4,16,3,39,1
25,4,20,3,57,8
25,4,11,10,65,0
25,4,27,1,29,1
25,4,26,0,57,9
25,4,22,3,41,8
25,4,21,0,49,3
25,4,23,1,48,8
25,4,26,3,42,0
25,4,19,3,58,8
25,4,21,0,53,9
25,4,14,1,52,5
25,4,26,1,39,3
25,4,26,1,52,9
25,4,10,2,68,3
25,4,30,2,42,0
25,4,16,1,43,5
25,4,21,4,37,2
25,4,16,3,63,7
25,4,15,0,50,4
25,4,26,0,47,9
25,4,18,5,52,8
25,4,26,3,54,5
25,4,16,2,39,8
25,5,17,3,52,6
25,5,11,1,63,3
25,5,19,3,62,9
25,5,23,0,42,2
25,5,22,3,73,8
25,5,16,3,57,0
25,5,16,2,46,3
25,5,24,3,56,5
25,5,22,1,40,7
25,5,24,0,48,5
25,5,21,0,35,8
25,5,20,5,61,6
25,5,19,3,67,8
25,5,17,1,37,2
25,5,19,2,73,4
25,5,19,3,70,9
25,5,14,1,37,0
25,5,19,0,50,9
25,5,28,2,43,3
25,5,18,2,48,4
25,5,24,2,54,8
25,5,40,0,38,9
25,5,15,1,41,8
25,5,20,1,48,6
25,5,24,1,39,3
25,6,22,4,45,1
25,6,22,4,55,5
25,6,20,2,40,8
25,6,17,1,54,5
25,6,33,1,56,8
25,6,27,3,34,6
25,6,22,2,42,2
25,6,20,3,54,8
25,6,20,2,40,6
25,6,22,3,57,8
25,6,22,1,40,3
25,6,13,3,61,0
25,6,17,4,31,6
25,6,28,1,47,1
25,6,24,2,52,7
25,6,24,3,27,0
25,6,18,2,47,5
25,6,15,5,50,7
25,6,16,1,60,0
25,6,18,3,53,1
25,6,16,3,47,4
25,6,23,3,51,0
25,6,17,2,52,0
25,6,17,3,66,8
25,6,31,5,47,0
25,7,24,1,64,7
25,7,21,3,67,6
25,7,27,2,42,6
25,7,26,2,49,1
25,7,17,4,63,9
25,7,17,3,58,7
25,7,16,1,68,8
25,7,17,2,57,5
25,7,25,1,48,7
25,7,14,5,46,1
25,7,22,2,50,7
25,7,15,0,47,0
25,7,19,0,62,6
25,7,23,3,45,0
25,7,16,0,47,8
25,7,26,1,60,0
25,7,21,2,48,5
25,7,25,3,58,2
25,7,21,3,40,8
25,7,18,1,45,3
25,7,10,1,49,8
25,7,19,5,61,0
25,7,25,2,44,6
25,7,18,3,64,8
25,7,18,2,54,3
25,8,24,2,47,3
25,8,22,2,47,1
25,8,16,1,35,8
25,8,21,3,52,7
25,8,19,0,62,7
25,8,19,1,52,5
25,8,13,3,51,6
