 "tick" "sappalphas" "sappbetas" "sappalpha_ds" "sappbeta_ds"
 0 0 0 0 0
 1 0 0 0 0
 2 4 0 1 0
 3 5 0 3 0
 4 5 0 5 0
 5 5 0 6 0
 6 5 0 6 0
 7 5 0 6 0
 8 5 0 6 0
 9 6 0 7 0
 10 6 0 8 0
 11 6 0 8 0
 12 6 0 8 0
 13 6 0 9 0
 14 7 0 9 0
 15 7 0 9 0
 16 7 0 9 0
 17 7 0 9 0
 18 7 0 9 0
 19 7 0 9 0
 20 7 0 9 0
 21 7 0 10 0
 22 7 0 10 0
 23 7 0 10 0
 24 7 0 11 0
 25 7 0 11 0
 26 7 0 11 0
 27 7 0 11 0
 28 7 0 11 0
 29 7 0 11 0
 30 7 0 11 0
 31 7 0 11 0
 32 7 0 11 0
 33 7 0 11 0
 34 7 0 11 0
 35 7 0 11 0
 36 7 0 11 0
 37 7 0 11 0
 38 7 0 11 0
 39 7 0 11 0
 40 7 0 11 0
 41 7 1 11 0
 42 7 1 11 0
 43 7 1 11 0
 44 7 1 11 0
 45 7 2 11 0
 46 7 2 11 0
 47 7 2 11 0
 48 7 2 11 0
 49 7 2 11 0
 50 7 2 11 0
 51 7 2 11 0
 52 7 2 11 0
 53 7 2 11 0
 54 7 2 11 0
 55 7 2 11 0
 56 7 2 11 0
 57 7 2 11 0
 58 7 2 11 0
 59 7 2 11 0
 60 7 2 11 0
 61 7 2 11 0
 62 7 2 11 0
 63 7 2 11 0
 64 7 2 11 0
 65 7 2 11 0
 66 8 2 11 0
 67 8 2 11 0
 68 8 2 11 0
 69 8 2 11 0
 70 8 2 11 0
 71 8 2 11 0
 72 8 2 11 0
 73 8 2 11 0
 74 8 2 11 0
 75 8 2 11 0
 76 8 2 11 0
 77 8 2 11 0
 78 8 2 11 0
 79 8 2 11 0
 80 10 2 11 0
 81 10 2 11 0
 82 10 2 11 0
 83 11 2 11 0
 84 11 2 11 0
 85 11 2 11 0
 86 12 2 11 0
 87 12 2 11 0
 88 12 2 11 0
 89 12 2 11 0
 90 12 2 11 0
 91 12 2 11 0
 92 12 2 11 0
 93 13 2 11 0
 94 13 2 11 0
 95 13 2 11 0
 96 13 2 11 0
 97 13 2 11 0
 98 13 2 11 0
 99 13 2 11 0
 100 13 2 11 0
